Final Class rank,Reading Quiz Average,Number of classes attended,HW1 Percent,HW2 Percent,HW 3 Percent,HW4 Percent,HW5 Percent,HW6 Percent,HW7 Percent,HW Average,Midterm Percentage,Final Exam Percentage
1,1,16,0.9666666667,1,1,0.9677419355,1,1,1,0.994676887,0.9782608696,0.9727272727
2,0.9056603774,16,0.9333333333,0.847826087,0.9696969697,0.9893548387,1,1,1,0.9822417726,1,0.9545454545
3,1,14,0.9333333333,1,1,1,1,1,1,1,0.9565217391,0.9409090909
4,1,12,0.925,1,1,0.9783870968,1,1,0.9230769231,0.9840572767,0.902173913,0.9545454545
5,0.9056603774,13,1,1,1,0.9783870968,1,1,1,1,0.9673913043,0.9272727273
6,0.9245283019,10,0.8666666667,0.9130434783,1,0.9783870968,1,0.9545454545,1,0.9745835032,0.9565217391,0.9636363636
7,0.9018867925,4,0.9666666667,0.9782608696,1,1,0,0.9166666667,1,0.9771607596,0.8913043478,0.9681818182
8,0.9622641509,11,0.8666666667,1,1,0.935483871,1,1,1,0.9893537741,0.9402173913,0.9454545455
9,0.7924528302,0,0.8,1,1,0.9893548387,1,1,1,0.9982433727,0.9347826087,0.9318181818
10,0.5471698113,13,0.7916666667,0,0.8333333333,1,0.92,0.9545454545,1,0.9174167417,0.9782608696,0.9318181818
11,1,15,0.8666666667,0.9782608696,1,0.8387096774,0.92,0.8939393939,0.9230769231,0.9310138372,0.9130434783,0.9272727273
12,1,13,0.9333333333,1,1,0.9783870968,1,1,1,0.9964335143,0.9239130435,0.8954545455
13,0.8113207547,0,0.9583333333,1,0.9393939394,0.9032258065,0.96,0,0.9423076923,0.9510331306,0.9347826087,0.9272727273
14,0.9981132075,0,0.9583333333,1,0.9545454545,0.9248387097,1,1,1,0.9856235624,0.8152173913,0.9227272727
15,1,14,1,1,1,0.8709677419,0.96,0.9924242424,0,0.9708567631,0.972826087,0.8681818182
16,1,14,0.9583333333,0.9891304348,0.9090909091,0.7958064516,0.76,0.8636363636,1,0.9201315994,0.9782608696,0.8681818182
17,0.5735849057,1,0.8666666667,0.8913043478,0,0.9138709677,1,0.9696969697,1,0.9408480119,0.8913043478,0.9318181818
18,1,0,0.7666666667,1,1,0.9677419355,1,0.9393939394,1,0.9846758869,0.847826087,0.9
19,0.9622641509,15,0.9666666667,1,0.9696969697,0.8493548387,0.82,0.8712121212,0.9230769231,0.9306943101,0.7173913043,0.9454545455
20,1,16,0.8333333333,1,1,0.8603225806,1,0.9696969697,1,0.9719504208,0.8043478261,0.9
21,1,14,0.8916666667,0.9891304348,1,0.9032258065,1,0.8712121212,1,0.9643602158,0.9347826087,0.8636363636
22,0.8867924528,13,0.8916666667,0.7826086957,0.9090909091,0.9461290323,0.76,1,1,0.922358961,0.8043478261,0.9136363636
23,0.7169811321,13,0.9916666667,1,0.9696969697,0.935483871,1,0.8787878788,1,0.9829781365,0.75,0.9136363636
24,0.9622641509,7,0.8666666667,1,0.9393939394,0.8925806452,0.92,0,0.8846153846,0.9180291478,0.9619565217,0.8727272727
25,1,16,0.8666666667,0.9891304348,0.9545454545,0.9248387097,0.96,1,1,0.971702079,0.8804347826,0.8636363636
26,1,14,0.925,0.9782608696,0.9696969697,0.7635483871,0.72,0.9393939394,0.8269230769,0.9014559806,0.9347826087,0.8590909091
27,0.9,9,0.9333333333,1,0.9848484848,0.9893548387,0.92,0.8863636364,1,0.9715407025,0.9347826087,0.8636363636
28,1,15,0.7666666667,1,0.9393939394,0.9138709677,1,0.9848484848,1,0.9732860383,0.6956521739,0.9090909091
29,0.9622641509,12,0.9,0.8695652174,0.7575757576,0.9138709677,1,0.9318181818,1,0.9365106216,0.8913043478,0.8681818182
30,0.8301886792,11,0.9333333333,1,1,0.9783870968,1,0,1,0.9804819192,0.8260869565,0.8954545455
31,0.7735849057,12,0.8916666667,0.9782608696,0.9393939394,0.7635483871,0.96,0.8636363636,0.8653846154,0.9172182268,0.7826086957,0.9272727273
32,1,11,0.8916666667,0.9673913043,1,0.8816129032,1,0.8484848485,0.8846153846,0.9381660493,0.8369565217,0.8954545455
33,0.9433962264,10,0.925,1,0.8333333333,0.9248387097,0.8,0.8106060606,1,0.9164650336,0.9130434783,0.8772727273
34,0.8301886792,16,0.825,0.9456521739,1,0.9677419355,1,0.8939393939,0.9807692308,0.9650334545,0.8804347826,0.8681818182
35,1,14,0.8666666667,1,1,0.7741935484,0.96,0.9090909091,1,0.9563956396,0.7717391304,0.8727272727
36,1,13,0.9,1,0.9924242424,1,1,1,1,0.998749875,0.7282608696,0.8681818182
37,0.8113207547,15,0.9666666667,0.9782608696,1,0.8387096774,0.8,1,0.9230769231,0.9516029929,0.8586956522,0.8772727273
38,1,9,0.8583333333,0.9891304348,0.9924242424,1,0.8,0.7045454545,0.9807692308,0.937402185,0.8804347826,0.8727272727
39,1,13,0.8333333333,0.9347826087,0.9696969697,0.8925806452,1,0.8787878788,1,0.9465095878,0.8043478261,0.8590909091
40,0.9075471698,11,0.8333333333,1,0.9090909091,0.8816129032,1,0.946969697,0.9615384615,0.9454145166,0.7989130435,0.9045454545
41,1,13,0.825,1,1,0.9893548387,0.96,1,1,0.9916427127,0.597826087,0.8954545455
42,1,6,0.6916666667,0.9782608696,1,0.935483871,1,0.9696969697,1,0.9807659588,0.777173913,0.8727272727
43,0.8490566038,13,0.7916666667,0.9347826087,1,0.9893548387,1,0.8636363636,0,0.9306007389,0.8152173913,0.8590909091
44,0.9622641509,16,0.8916666667,0.9782608696,0.9090909091,0.8709677419,1,0.9393939394,0.8269230769,0.932240945,0.7717391304,0.8818181818
45,1,12,0.7,1,1,0.8280645161,0.8,0.8712121212,1,0.9173723824,0.6956521739,0.8772727273
46,0.8264150943,10,0.8583333333,0.9565217391,1,0.935483871,0.9,0.9772727273,1,0.9619271184,0.6847826087,0.8954545455
47,0.7547169811,0,1,0.9673913043,0.9696969697,0.9677419355,1,0.9393939394,0,0.974294414,0.9130434783,0.8136363636
48,1,15,0.8,1,1,0.8603225806,0.84,0.7424242424,1,0.9175449803,0.722826087,0.8636363636
49,1,13,0.6333333333,0.9565217391,0.9924242424,1,1,0.9696969697,1,0.9865747444,0.5706521739,0.8772727273
50,0.8113207547,12,0.9583333333,0.9673913043,0.9242424242,0.7635483871,0.84,0.8106060606,0.8846153846,0.8985459583,0.8586956522,0.8409090909
51,1,13,0.925,1,1,0.9032258065,0.92,1,1,0.9744224422,0.7717391304,0.8227272727
52,0.9075471698,13,0.7916666667,1,0.9696969697,0,1,0.8257575758,1,0.9318681868,0.7717391304,0.8409090909
53,0.9056603774,13,0.8916666667,1,0.9090909091,0.7958064516,0.7,0.9772727273,1,0.9296760321,0.6630434783,0.8636363636
54,0.8962264151,0,0.9333333333,1,0.9545454545,0.9461290323,1,0.9166666667,0.9615384615,0.9662617627,0.5,0.9
55,0.9622641509,12,0.725,1,0.8939393939,0.8170967742,0.96,0.8181818182,0.7884615385,0.8808052021,0.7717391304,0.8454545455
56,1,14,1,1,0.9393939394,0.9893548387,1,0.9696969697,1,0.9932428727,0.6304347826,0.8363636364
57,0.5754716981,5,1,0.8369565217,0.9848484848,0.7525806452,0.88,0.8181818182,1,0.9207899051,0.8913043478,0.8318181818
58,0.7358490566,14,0.9583333333,0.9891304348,0.9242424242,1,1,0.8939393939,0,0.9613276545,0.6739130435,0.8454545455
59,1,16,0.7,1,0.9393939394,0.8603225806,0.9,0.6136363636,0.9615384615,0.8945965316,0.7880434783,0.8227272727
60,0.8867924528,8,0.9333333333,1,0.9696969697,1,1,1,1,0.9949994999,0.6195652174,0.8636363636
61,1,16,0.925,1,0.9318181818,0.7958064516,0.8,0.6590909091,0.8461538462,0.8842868778,0.8913043478,0.7636363636
62,0.9622641509,2,0,1,1,0.7848387097,1,0.6287878788,0.9615384615,0.8968919224,0.7173913043,0.8545454545
63,0.7113207547,16,0.925,0.9456521739,0.9090909091,0.7635483871,0.92,0.7272727273,0.8269230769,0.8828736876,0.7608695652,0.8272727273
64,0.9622641509,14,0.8333333333,0.9347826087,0.9924242424,0.9032258065,1,0.8787878788,1,0.9520165902,0.6630434783,0.8136363636
65,0.9056603774,12,0.9,0.9782608696,0.9848484848,0.8816129032,1,0.9015151515,0.9615384615,0.9548123709,0.652173913,0.8136363636
66,0.9339622642,3,0.9333333333,1,1,0.8925806452,0.76,0,0.7307692308,0.8872414537,0.9130434783,0.7590909091
67,1,14,0.9,0.9565217391,0.9848484848,0.935483871,0.92,0.9545454545,0.9230769231,0.9462832463,0.6739130435,0.8045454545
68,0.3773584906,2,0.8916666667,0.7608695652,0.9696969697,0.8387096774,0,0,0.9615384615,0.7396833895,0.9347826087,0.8454545455
69,0.8490566038,4,0.9583333333,1,0.9393939394,0,0.8,0.9090909091,0.9230769231,0.9224249348,0.8695652174,0.7727272727
70,1,16,0.9,0.9782608696,1,0.9461290323,1,0.9848484848,1,0.9850228361,0.6413043478,0.7909090909
71,0.8301886792,0,0.9916666667,0.9673913043,0.9393939394,0.8170967742,0.9,0.7727272727,0,0.8990554385,0.8913043478,0.75
72,0.4716981132,0,0.5333333333,0.9891304348,0.9848484848,0.8603225806,1,0.8484848485,0.9423076923,0.9381343302,0.6304347826,0.85
73,0.8679245283,0,0.8333333333,1,1,0.9893548387,0.8,0,1,0.9377373221,0.847826087,0.7545454545
74,0.7358490566,12,0.7,0.9782608696,0.9393939394,0.9138709677,0.96,0.8409090909,0.9615384615,0.9329988992,0.5760869565,0.8363636364
75,0.9433962264,16,0.8333333333,1,0.9696969697,0.9893548387,1,0.9848484848,1,0.9907426226,0.5869565217,0.8
76,1,2,0.9333333333,0.9891304348,0.8787878788,0.9248387097,1,0.7575757576,0.8653846154,0.932586629,0.8152173913,0.7772727273
77,0.7169811321,4,0.8333333333,1,0.9848484848,0.9677419355,0.8,0.8636363636,0.9807692308,0.9389982423,0.6358695652,0.8409090909
78,0.8490566038,15,0.9333333333,1,1,0.9032258065,1,0.7803030303,0.8846153846,0.9539891954,0.6739130435,0.7909090909
79,0.8679245283,14,0.8333333333,1,0.9621212121,0.9893548387,1,1,1,0.9919927477,0.5652173913,0.8045454545
80,0.6698113208,10,0.8916666667,1,1,0.8280645161,0.76,0,0.8846153846,0.8951066943,0.7608695652,0.8409090909
81,0.8490566038,0,0.7666666667,0.9782608696,0.9696969697,0.6774193548,0.76,0.7196969697,0.8269230769,0.8384892001,0.8260869565,0.8
82,0.9433962264,11,0.9666666667,1,1,0.8925806452,0.88,0.2272727273,0.8846153846,0.937931138,0.847826087,0.7363636364
83,0.9056603774,9,0.8666666667,0.9782608696,0.9696969697,0.7525806452,0.92,0.9393939394,0,0.9053793879,0.8913043478,0.7318181818
84,0.9622641509,14,0.925,0.9782608696,0.9696969697,0.8493548387,0.76,0.8409090909,0.8846153846,0.9088840187,0.7119565217,0.7954545455
85,0.9433962264,8,0.9666666667,1,0,0.9893548387,1,0.9545454545,1,0.9852420726,0.8152173913,0.7363636364
86,0.7547169811,11,1,0.847826087,0.803030303,0.7419354839,0.92,0.8409090909,0.8846153846,0.8838912319,0.75,0.8272727273
87,0.9528301887,6,0.7666666667,1,0.9924242424,0.8709677419,0.92,0.8787878788,0.9615384615,0.9379073143,0.8586956522,0.7454545455
88,0.9622641509,13,0.8583333333,1,1,0.8387096774,1,0.9166666667,1,0.9628712871,0.652173913,0.7636363636
89,1,13,0.925,0.7934782609,1,0.9570967742,0.92,0.9318181818,0.9807692308,0.9529181826,0.6304347826,0.7681818182
90,0.9056603774,5,0.9666666667,0.9782608696,0.9924242424,0.8709677419,0,0.9166666667,1,0.9546181827,0.7282608696,0.7772727273
91,1,15,0.9333333333,1,1,0.9893548387,1,0.9848484848,1,0.9957431227,0.5652173913,0.7681818182
92,1,14,0.825,1,1,0.9893548387,0.96,1,1,0.9916427127,0.7717391304,0.6954545455
93,0.9528301887,13,0.9583333333,1,0,0.9677419355,1,0.9696969697,1,0.9828006994,0.7282608696,0.7272727273
94,0.9622641509,0,0.9583333333,1,0.9772727273,0.9783870968,0.92,0,1,0.9726061316,0.6032608696,0.7818181818
95,1,11,0.9666666667,1,0,0.9893548387,1,1,1,0.9927428227,0.597826087,0.7772727273
96,1,11,0.6666666667,1,0.9090909091,0.8925806452,0.92,0.9166666667,0.8846153846,0.9212794729,0.6413043478,0.7863636364
97,1,15,0.7583333333,1,0.9090909091,0.9677419355,0.92,0.8712121212,0.07692307692,0.9053429537,0.5543478261,0.7909090909
98,0.8113207547,4,0.8,1,1,0.9032258065,0.96,0,1,0.9444267007,0.7282608696,0.7681818182
99,0.9056603774,13,0.8333333333,0.9891304348,0.9848484848,0.7635483871,0,0.7727272727,0.9038461538,0.8758142024,0.7391304348,0.7454545455
100,0.9433962264,14,0.9666666667,0.9347826087,1,0.7741935484,0.96,0.9924242424,0.8846153846,0.9568463535,0.7717391304,0.6954545455
101,0.6377358491,11,0.9666666667,1,0,0.9677419355,1,0.9696969697,0.9615384615,0.9778290484,0.7717391304,0.7227272727
102,1,15,0.9,1,0.9848484848,0.9461290323,1,0.8863636364,0,0.953356626,0.5652173913,0.75
103,0.2339622642,1,0.7666666667,0.9891304348,0.8484848485,0,0.86,0.8712121212,0,0.7253290546,0.8206521739,0.8454545455
104,0.9622641509,12,0.7,0.9782608696,0,0.7419354839,0.8,0.8939393939,0.8269230769,0.8252572317,0.8206521739,0.7
105,0.6132075472,4,0.8333333333,1,0.9090909091,0.8064516129,1,0.9848484848,0,0.9230568218,0.6739130435,0.7772727273
106,0.9528301887,3,0.8,0.9130434783,1,0.8709677419,1,0.8181818182,0.9423076923,0.9248351041,0.5217391304,0.8136363636
107,1,13,0.7333333333,1,0.9696969697,0.8064516129,1,0.9090909091,0.9230769231,0.935365745,0.6576086957,0.7227272727
108,0.8867924528,5,0.8,0.7717391304,0.696969697,0.6990322581,0.92,0.6893939394,0.7692307692,0.7783781938,0.6739130435,0.8090909091
109,0.8773584906,12,0.6666666667,1,0.8636363636,0.7203225806,0.96,0.6818181818,0.9230769231,0.8595468728,0.4891304348,0.8136363636
110,0.858490566,15,0.7333333333,0.9347826087,0.9090909091,0.8493548387,0.84,0.7196969697,0.9615384615,0.8726237874,0.5217391304,0.7772727273
111,0.8301886792,9,0.9666666667,1,0.9090909091,0.9032258065,1,0.9848484848,0.8076923077,0.9610283609,0.6358695652,0.7636363636
112,1,11,0.6333333333,1,0.9848484848,0,0.84,0.9545454545,1,0.903090309,0.7065217391,0.7318181818
113,0.8679245283,3,0.8333333333,1,0,0.8170967742,1,0.5757575758,0.9038461538,0.8564412272,0.6032608696,0.7818181818
114,0.6981132075,14,0.725,0.9347826087,0.8333333333,1,0.82,0.9242424242,1,0.9195310835,0.6956521739,0.7090909091
115,0.9905660377,0,0.9333333333,0.9347826087,0.9393939394,0.9138709677,1,0.9015151515,1,0.9540232424,0.7065217391,0.6954545455
116,0.9622641509,2,0.9666666667,1,0,1,1,1,1,0.9944994499,0.4565217391,0.7681818182
117,0.179245283,0,0.9333333333,0,0.9090909091,0.8925806452,0.71,0,0,0.5783836448,0.8695652174,0.8318181818
118,1,13,0.6666666667,0.8260869565,0.9318181818,0.8387096774,0.8,0,0.8846153846,0.8263856216,0.5869565217,0.7454545455
119,0.7169811321,5,0.9333333333,1,1,0,0.96,0.9545454545,0.8076923077,0.9431635471,0.7282608696,0.7181818182
120,0.8113207547,0,0.8583333333,0.9130434783,0.9696969697,0.494516129,0.8,0.7651515152,0.9230769231,0.8728221484,0.7989130435,0.6590909091
121,0.9245283019,15,0.7333333333,1,0,0.7741935484,1,0.7878787879,0.8846153846,0.8646899429,0.4619565217,0.75
122,0.9433962264,13,0.7666666667,1,0.8939393939,0.7525806452,0.96,0.8106060606,0.9230769231,0.893447037,0.7391304348,0.6363636364
123,1,2,0.7333333333,0.8260869565,1,0.9893548387,0.92,0.5757575758,1,0.9123391301,0.5434782609,0.7318181818
124,0.7037735849,0,0.9,1,0.9393939394,0.9032258065,0.96,0.6515151515,1,0.9509273508,0.6304347826,0.7227272727
125,0.4981132075,6,0.8583333333,0.9565217391,1,0,0.92,0,1,0.7813292199,0.5815217391,0.7954545455
126,1,3,0.9,1,1,0.9248387097,0.88,0,0.75,0.905088896,0.902173913,0.5545454545
127,1,0,0.8583333333,1,1,0.7525806452,1,0.8106060606,0.9615384615,0.9390227484,0.5434782609,0.7045454545
128,0.7924528302,6,0.7666666667,1,0.696969697,0.9032258065,0.72,0.6818181818,0.9615384615,0.8429704013,0.5869565217,0.7590909091
129,0.9339622642,9,0.8333333333,1,0.9696969697,0.6880645161,0.76,0.6287878788,0.8846153846,0.8573779214,0.6630434783,0.7136363636
130,0.9622641509,13,0.6,1,0.8333333333,0.6558064516,0.84,0.696969697,0.8461538462,0.8139048396,0.597826087,0.6727272727
131,0.5943396226,13,0.8,0.847826087,0.8484848485,0.8064516129,0.88,0.7575757576,0.9615384615,0.8587955462,0.5869565217,0.6545454545
132,1,13,0.925,0.7826086957,0.7727272727,0.9138709677,0.88,0.8712121212,0.9615384615,0.8901370043,0.5108695652,0.6409090909
133,0.7471698113,12,0.8333333333,1,0.8636363636,0.9138709677,0.76,0.9696969697,0,0.8862273324,0.6630434783,0.6136363636
134,0.6924528302,11,0.7,1,1,0.8603225806,0.8,0,0.6923076923,0.8436683619,0.5706521739,0.6954545455
135,0.3301886792,0,0,0.7173913043,0.9242424242,0.8603225806,0,0,0.8653846154,0.5655678093,0.8152173913,0.7272727273
136,0.7169811321,4,0.9,1,0.9696969697,0.935483871,0.96,0.9242424242,1,0.9652513638,0.652173913,0.6090909091
137,0.9056603774,2,0.7666666667,0.8695652174,0.8636363636,0,0,0,0,0.4224205029,0.4293478261,0.85
138,0.9622641509,9,0.8333333333,0.9456521739,0.8787878788,0,0.88,0.4018181818,0.6538461538,0.7678940135,0.7065217391,0.6409090909
139,0.4528301887,5,0.725,0.8913043478,0,0.6774193548,0.82,0.9242424242,1,0.8412485358,0.5543478261,0.7136363636
140,0.5886792453,0,0.8333333333,0.9130434783,0.9696969697,0,0,0,0,0.4481969936,0.7717391304,0.7727272727
141,0.6981132075,0,0.5333333333,0.8260869565,0.9545454545,0.6235483871,0.56,0.6439393939,0.7884615385,0.7354095265,0.6847826087,0.6681818182
142,0.641509434,4,0.8666666667,0.9565217391,0,0.9248387097,0.92,0,0.75,0.7389483689,0.777173913,0.6363636364
143,0.8679245283,13,0.9,1,0.803030303,0.8493548387,1,0,0.8846153846,0.9070957964,0.6413043478,0.5727272727
144,0.9433962264,0,0.8583333333,0,0,0,0,0.3787878788,0.8076923077,0.3473289637,0.652173913,0.7954545455
145,0.6339622642,0,0.8,1,0.9090909091,0,1,0.9090909091,0.7884615385,0.9020863625,0.6086956522,0.6272727273
146,0.5283018868,0,0.7333333333,0.8043478261,0,0.5483870968,0.88,0.8181818182,0.9230769231,0.7866876233,0.652173913,0.6590909091
147,0.9905660377,13,0.8333333333,0.8913043478,0.7272727273,0.9570967742,1,0.6742424242,0.7115384615,0.8548755188,0.5217391304,0.6136363636
148,0.8301886792,8,0.9583333333,0.9347826087,0.9393939394,0.9138709677,0.92,0.5757575758,0,0.8749403341,0.5652173913,0.6545454545
149,1,10,0.7333333333,1,0.9318181818,0.5806451613,1,0.8333333333,1,0.9172417242,0.3260869565,0.6590909091
150,1,1,0.7333333333,0.7391304348,0.9545454545,0.9138709677,1,0.7575757576,1,0.8952347549,0.5217391304,0.6181818182
151,0.8132075472,2,0.7333333333,0.8695652174,0.8787878788,0.57,0.68,0.8106060606,0.8461538462,0.7951231578,0.6195652174,0.6409090909
152,1,2,0.7,0.9130434783,0.5151515152,0.505483871,0.84,0.7348484848,0.9230769231,0.7633862048,0.5543478261,0.6545454545
153,0.641509434,13,0.8666666667,0.8913043478,0,0.9032258065,1,0.7575757576,0.8269230769,0.8755273359,0.1086956522,0.7272727273
154,0.9056603774,7,0.9,1,0.9696969697,0.9783870968,1,0.9848484848,0,0.962530124,0.5706521739,0.5590909091
155,0.3396226415,0,0.9333333333,0.8695652174,0,0,0.94,0.803030303,0.9615384615,0.7537074778,0.5543478261,0.6318181818
156,0.9433962264,7,0.7666666667,0.7065217391,0.7727272727,0.5483870968,0.76,0.5681818182,0.8653846154,0.7424887974,0.5760869565,0.6227272727
157,0.9509433962,0,0.8916666667,0.8369565217,0.8636363636,0.9677419355,1,0.5909090909,0,0.8598862341,0.3913043478,0.5954545455
158,0.8113207547,1,0.7,0.8695652174,0.8484848485,0,0,0,0.4807692308,0.4882540093,0.7282608696,0.5954545455
159,1,13,0.8,0.8913043478,0.9090909091,0.6667741935,0.82,0.8636363636,0.9038461538,0.8610359364,0.4347826087,0.5
160,1,3,0.9666666667,0.9565217391,0,0.9570967742,1,0.9848484848,1,0.9777448292,0.3804347826,0.5181818182
161,1,0,0.8666666667,1,0.8712121212,0,1,1,1,0.9567456746,0,0.6136363636
162,0.7886792453,10,0.9333333333,1,0.9090909091,0.8603225806,0.92,0.9015151515,0,0.9214953753,0.5869565217,0.45
163,0.2830188679,3,0.8,0.902173913,0.8939393939,0.9138709677,0.92,0,0.8076923077,0.8742040565,0.5543478261,0.5454545455
164,0.9056603774,2,0.8,0.847826087,0.8484848485,0,0.88,0.5681818182,0.9615384615,0.8194770982,0.5217391304,0.5090909091
165,0.9245283019,0,0.7333333333,0.8695652174,0.803030303,0.6451612903,0,0.303030303,0.8653846154,0.6962879641,0.4891304348,0.5227272727
166,0.6603773585,0,0.5666666667,0.6086956522,0,0.7312903226,0.84,0.3560606061,0.9230769231,0.6742228004,0.3913043478,0.5818181818
167,0.8679245283,8,0.5333333333,0.9891304348,0.8560606061,0.5377419355,0.88,0.6287878788,0.9230769231,0.8044220756,0.472826087,0.4863636364
168,0.1735849057,2,0.5666666667,0,0.8106060606,0.6990322581,0.76,0,0.9230769231,0.630261041,0.4891304348,0.3545454545
169,0.4056603774,3,0.4,0,0.8181818182,0.634516129,0.96,0.446969697,0.6923076923,0.6620421347,0.402173913,0.3909090909
170,0.2924528302,0,0.4,0,0.8333333333,0.9032258065,1,0.9848484848,0,0.6900012582,0.25,0.3818181818
171,0.8679245283,1,0.9666666667,0.9782608696,0,0,0,0,0,0.3308461281,0.4836956522,0.4227272727
172,0.3962264151,0,0,1,0.8787878788,0,0.64,0,0,0.4255425543,0.7608695652,0
173,0.7358490566,1,0.8,0.6739130435,0,0,0,0,0,0.2531209643,0.402173913,0
174,0.1886792453,0,0,0,0,0,0,0,0,0.009900990099,0.4130434783,0
175,0.7358490566,0,0.8333333333,0.8152173913,0,0,0,0,0,0.2819390635,0,0
176,0.4528301887,0,0.8333333333,0,0,0,0,0,0,0.1474147415,0,0
177,0.5283018868,0,0.5,0,0,0,0,0,0,0.09240924092,0,0
178,0.2698113208,2,0.06666666667,0.5434782609,0,0,0,0,0,0.1105849715,0,0
179,0.3962264151,0,0,0,0,0,0,0,0,0.009900990099,0,0
180,0.2169811321,0,0,0,0,0,0,0,0,0.009900990099,0,0
181,0.1132075472,0,0,0,0,0,0,0,0,0.009900990099,0,0
182,0.1132075472,0,0,0,0,0,0,0,0,0.009900990099,0,0
183,0.1132075472,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0