,Country,Life expectancy at birth,Expected years of schooling,Mean years of schooling
0,Singapore,83.6,16.4,11.6
1,Solomon Islands,73.0,10.2,5.7
2,Iran (Islamic Republic of),76.7,14.8,10.3
3,Mongolia,69.9,14.2,10.3
4,Montenegro,76.9,15.0,11.6
5,Congo (Democratic Republic of the),60.7,9.7,6.8
6,Liechtenstein,80.7,14.9,12.5
7,Uganda,63.4,11.4,6.2
8,Saint Lucia,76.2,14.0,8.5
9,Netherlands,82.3,18.5,12.4
10,Armenia,75.1,13.1,11.3
11,Trinidad and Tobago,73.5,13.0,11.0
12,France,82.7,15.6,11.5
13,Switzerland,83.8,16.3,13.4
14,Albania,78.6,14.7,10.1
15,Serbia,76.0,14.7,11.2
16,Gambia,62.1,9.9,3.9
17,Dominican Republic,74.1,14.2,8.1
18,Libya,72.9,12.9,7.6
19,Denmark,80.9,18.9,12.6
20,Comoros,64.3,11.2,5.1
21,South Africa,64.1,13.8,10.2
22,Mozambique,60.9,10.0,3.5
23,Canada,82.4,16.2,13.4
24,Cyprus,81.0,15.2,12.2
25,Guatemala,74.3,10.8,6.6
26,Yemen,66.1,8.8,3.2
27,Korea (Republic of),83.0,16.5,12.2
28,Nicaragua,74.5,12.3,6.9
29,"Palestine, State of",74.1,13.4,9.2
30,Georgia,73.8,15.3,13.1
31,Palau,73.9,15.8,12.5
32,Bahamas,73.9,12.9,11.4
33,Marshall Islands,74.1,12.4,10.9
34,Lao People's Democratic Republic,67.9,11.0,5.3
35,Botswana,69.6,12.8,9.6
36,New Zealand,82.3,18.8,12.8
37,Mexico,75.1,14.8,8.8
38,Israel,83.0,16.2,13.0
39,Guyana,69.9,11.4,8.5
40,Germany,81.3,17.0,14.2
41,Liberia,64.1,9.6,4.8
42,Viet Nam,75.4,12.7,8.3
43,Maldives,78.9,12.2,7.0
44,Portugal,82.1,16.5,9.3
45,Turkmenistan,68.2,11.2,10.3
46,Sudan,65.3,7.9,3.8
47,Saint Vincent and the Grenadines,72.5,14.1,8.8
48,Rwanda,69.0,11.2,4.4
49,Russian Federation,72.6,15.0,12.2
50,Venezuela (Bolivarian Republic of),72.1,12.8,10.3
51,Jamaica,74.5,13.1,9.7
52,Latvia,75.3,16.2,13.0
53,Zambia,63.9,11.5,7.2
54,Tajikistan,71.1,11.7,10.7
55,Chad,54.2,7.3,2.5
56,Niger,62.4,6.5,2.1
57,Pakistan,67.3,8.3,5.2
58,Sweden,82.8,19.5,12.5
59,Oman,77.9,14.2,9.7
60,Hungary,76.9,15.2,12.0
61,Ghana,64.1,11.5,7.3
62,Japan,84.6,15.2,12.9
63,Azerbaijan,73.0,12.9,10.6
64,Philippines,71.2,13.1,9.4
65,Kazakhstan,73.6,15.6,11.9
66,Bahrain,77.3,16.3,9.5
67,Thailand,77.2,15.0,7.9
68,Madagascar,67.0,10.2,6.1
69,Bangladesh,72.6,11.6,6.2
70,Burundi,61.6,11.1,3.3
71,Finland,81.9,19.4,12.8
72,Afghanistan,64.8,10.2,3.9
73,Eritrea,66.3,5.0,3.9
74,Uruguay,77.9,16.8,8.9
75,El Salvador,73.3,11.7,6.9
76,Czechia,79.4,16.8,12.7
77,Zimbabwe,61.5,11.0,8.5
78,Senegal,67.9,8.6,3.2
79,Italy,83.5,16.1,10.4
80,Mauritania,64.9,8.6,4.7
81,Costa Rica,80.3,15.7,8.7
82,Sri Lanka,77.0,14.1,10.6
83,Colombia,77.3,14.4,8.5
84,Mali,59.3,7.5,2.4
85,Lesotho,54.3,11.3,6.5
86,Kyrgyzstan,71.5,13.0,11.1
87,Cameroon,59.3,12.1,6.3
88,Kiribati,68.4,11.8,8.0
89,Egypt,72.0,13.3,7.4
90,Brunei Darussalam,75.9,14.3,9.1
91,Cuba,78.8,14.3,11.8
92,Equatorial Guinea,58.7,9.7,5.9
93,Peru,76.7,15.0,9.7
94,Chile,80.2,16.4,10.6
95,Algeria,76.9,14.6,8.0
96,Romania,76.1,14.3,11.1
97,Malawi,64.3,11.2,4.7
98,Gabon,66.5,13.0,8.7
99,Samoa,73.3,12.7,10.8
100,Eswatini (Kingdom of),60.2,11.8,6.9
101,Greece,82.2,17.9,10.6
102,Slovakia,77.5,14.5,12.7
103,Angola,61.2,11.8,5.2
104,Lebanon,78.9,11.3,8.7
105,China,76.9,14.0,8.1
106,Qatar,80.2,12.0,9.7
107,Haiti,64.0,9.7,5.6
108,Indonesia,71.7,13.6,8.2
109,Tonga,70.9,14.4,11.2
110,Belarus,74.8,15.4,12.3
111,Vanuatu,70.5,11.7,7.1
112,Papua New Guinea,64.5,10.2,4.7
113,Tunisia,76.7,15.1,7.2
114,Ethiopia,66.6,8.8,2.9
115,Malta,82.5,16.1,11.3
116,Morocco,76.7,13.7,5.6
117,Ecuador,77.0,14.6,8.9
118,Cabo Verde,73.0,12.7,6.3
119,Central African Republic,53.3,7.6,4.3
120,C̫te d'Ivoire,57.8,10.0,5.3
121,Estonia,78.8,16.0,13.1
122,Brazil,75.9,15.4,8.0
123,Belize,74.6,13.1,9.9
124,Myanmar,67.1,10.7,5.0
125,Panama,78.5,12.9,10.2
126,Tanzania (United Republic of),65.5,8.1,6.1
127,North Macedonia,75.8,13.6,9.8
128,Bosnia and Herzegovina,77.4,13.8,9.8
129,Lithuania,75.9,16.6,13.1
130,Grenada,72.4,16.9,9.0
131,Poland,78.7,16.3,12.5
132,Syrian Arab Republic,72.7,8.9,5.1
133,India,69.7,12.2,6.5
134,Turkey,77.7,16.6,8.1
135,Slovenia,81.3,17.6,12.7
136,Mauritius,75.0,15.1,9.5
137,Guinea,61.6,9.4,2.8
138,Timor-Leste,69.5,12.6,4.8
139,Micronesia (Federated States of),67.9,11.5,7.8
140,Honduras,75.3,10.1,6.6
141,Dominica,78.2,13.0,8.1
142,Ireland,82.3,18.7,12.7
143,Croatia,78.5,15.2,11.4
144,Saudi Arabia,75.1,16.1,10.2
145,Andorra,81.9,13.3,10.5
146,Uzbekistan,71.7,12.1,11.8
147,Iceland,83.0,19.1,12.8
148,United Arab Emirates,78.0,14.3,12.1
149,Suriname,71.7,13.2,9.3
150,Fiji,67.4,14.4,10.9
151,Sierra Leone,54.7,10.2,3.7
152,Paraguay,74.3,12.7,8.5
153,Belgium,81.6,19.8,12.1
154,Barbados,79.2,15.4,10.6
155,Malaysia,76.2,13.7,10.4
156,Iraq,70.6,11.3,7.3
157,Ukraine,72.1,15.1,11.4
158,Burkina Faso,61.6,9.3,1.6
159,Luxembourg,82.3,14.3,12.3
160,Seychelles,73.4,14.1,10.0
161,Saint Kitts and Nevis,74.8,13.8,8.7
162,Norway,82.4,18.1,12.9
163,Djibouti,67.1,6.8,4.1
164,Namibia,63.7,12.6,7.0
165,Moldova (Republic of),71.9,11.5,11.7
166,Nepal,70.8,12.8,5.0
167,United States,78.9,16.3,13.4
168,Kenya,66.7,11.3,6.6
169,Togo,61.0,12.7,4.9
170,Nigeria,54.7,10.0,6.7
171,Benin,61.8,12.6,3.8
172,South Sudan,57.9,5.3,4.8
173,Congo,64.6,11.7,6.5
174,Antigua and Barbuda,77.0,12.8,9.3
175,Australia,83.4,22.0,12.7
176,Sao Tome and Principe,70.4,12.7,6.4
177,Bulgaria,75.1,14.4,11.4
178,Spain,83.6,17.6,10.3
179,Jordan,74.5,11.4,10.5
180,Kuwait,75.5,14.2,7.3
181,Guinea-Bissau,58.3,10.6,3.6
182,Argentina,76.7,17.7,10.9
183,Bolivia (Plurinational State of),71.5,14.2,9.0
184,Cambodia,69.8,11.5,5.0
185,Bhutan,71.8,13.0,4.1
186,"Hong Kong, China (SAR)",84.9,16.9,12.3
187,United Kingdom,81.3,17.5,13.2
188,Austria,81.5,16.1,12.5
